task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
one_hot_sum,many_hot,dense,2,linear,97.0%,0.97480273,0.004996281,0.0010000006,30000,2018-11-03 00:41:07
elementwise_add,many_hot,dense,2,linear,100.0%,1.0,2.1934062e-05,0.0010000006,1000,2018-11-03 00:41:53
equality,many_hot,dense,2,linear,0.0%,0.00078125,0.26129222,0.0010000006,1000,2018-11-03 00:47:00
logical_and,many_hot,dense,2,linear,13.0%,0.12829883,0.06901684,0.001,1000,2018-11-03 00:54:23
logical_or,many_hot,dense,2,linear,13.0%,0.1331543,0.069194764,0.001,1000,2018-11-03 01:00:45
logical_xor,many_hot,dense,2,linear,0.0%,0.0010605468,0.26175958,0.001,1000,2018-11-03 01:05:49
reduce_sum,random,dense,2,tanh,5.0%,0.05075,70.59325,9.999989e-05,30000,2018-11-03 01:09:47
reduce_max,random,dense,2,tanh,100.0%,1.0,6.494775e-05,9.999984e-05,30000,2018-11-03 01:12:45
concat,random,dense,2,tanh,97.0%,0.96822363,0.005993741,0.0010000006,30000,2018-11-03 01:17:10
dot,random,dense,2,tanh,3.0%,0.0305,13.865373,0.0010000006,1000,2018-11-03 01:21:50
elementwise_mul,random,dense,2,tanh,45.0%,0.4485879,0.1116546,0.0010000016,30000,2018-11-03 01:25:51
one_hot_sum,random,dense,2,tanh,100.0%,0.99600196,0.0052007968,0.0010000016,1000,2018-11-03 01:26:21
elementwise_add,random,dense,2,tanh,67.0%,0.66944337,0.058234956,0.0010000019,30000,2018-11-03 01:30:18
equality,random,dense,2,tanh,100.0%,1.0,0.00064237876,0.0010000019,1000,2018-11-03 01:30:44
logical_and,random,dense,2,tanh,100.0%,1.0,0.00033142482,0.0010000019,1000,2018-11-03 01:31:01
logical_or,random,dense,2,tanh,100.0%,1.0,0.00034113578,0.0010000019,1000,2018-11-03 01:31:19
logical_xor,random,dense,2,tanh,100.0%,1.0,0.00063905405,0.0010000019,1000,2018-11-03 01:31:28
reduce_sum,random_pos,dense,2,tanh,5.0%,0.047,73.95625,0.0010000019,30000,2018-11-03 01:34:36
reduce_max,random_pos,dense,2,tanh,100.0%,1.0,0.00038972887,0.0010000019,1000,2018-11-03 01:34:49
concat,random_pos,dense,2,tanh,97.0%,0.9680254,0.006007762,0.0010000006,30000,2018-11-03 01:39:17
dot,random_pos,dense,2,tanh,4.0%,0.035,14.720533,9.999989e-05,30000,2018-11-03 01:43:35
elementwise_mul,random_pos,dense,2,tanh,45.0%,0.4466289,0.112128966,0.0010000006,30000,2018-11-03 01:47:26
one_hot_sum,random_pos,dense,2,tanh,100.0%,0.9958008,0.00533717,0.0010000006,1000,2018-11-03 01:47:37
elementwise_add,random_pos,dense,2,tanh,67.0%,0.6720977,0.057921622,0.0010000006,30000,2018-11-03 01:51:19
equality,random_pos,dense,2,tanh,100.0%,1.0,0.0006652323,0.0010000006,1000,2018-11-03 01:51:34
logical_and,random_pos,dense,2,tanh,100.0%,1.0,0.00034065708,0.0010000006,1000,2018-11-03 01:51:53
logical_or,random_pos,dense,2,tanh,100.0%,1.0,0.00034277295,0.0010000006,1000,2018-11-03 01:52:11
logical_xor,random_pos,dense,2,tanh,100.0%,1.0,0.00064969,0.0010000006,1000,2018-11-03 01:52:20
reduce_sum,one_hot,dense,2,tanh,0.0%,0.0,1.0,0.01,1000,2018-11-03 01:58:30
reduce_max,one_hot,dense,2,tanh,100.0%,1.0,1.1840609e-07,0.01,100,2018-11-03 01:58:52
concat,one_hot,dense,2,tanh,99.0%,0.9920586,0.0047895103,0.0001,1000,2018-11-03 02:00:29
dot,one_hot,dense,2,tanh,99.0%,0.9875,0.012555891,9.999989e-05,30000,2018-11-03 02:05:38
elementwise_mul,one_hot,dense,2,tanh,100.0%,0.9999375,0.0008313085,9.999989e-05,1000,2018-11-03 02:06:03
one_hot_sum,one_hot,dense,2,tanh,100.0%,0.9960332,0.0051057925,9.999989e-05,1000,2018-11-03 02:06:28
elementwise_add,one_hot,dense,2,tanh,100.0%,0.99992186,0.00019102349,0.001,800,2018-11-03 02:08:31
equality,one_hot,dense,2,tanh,99.0%,0.9926738,0.0012120776,0.0010000006,3500,2018-11-03 02:13:07
logical_and,one_hot,dense,2,tanh,100.0%,0.9986875,0.0014669067,0.0010000006,100,2018-11-03 02:13:31
logical_or,one_hot,dense,2,tanh,100.0%,1.0,0.00011631794,0.0010000006,800,2018-11-03 02:13:54
logical_xor,one_hot,dense,2,tanh,100.0%,0.99990624,0.00021275814,0.0010000006,700,2018-11-03 02:14:19
reduce_sum,many_hot,dense,2,tanh,0.0%,0.0,16174.214,0.01,1000,2018-11-03 02:23:29
reduce_max,many_hot,dense,2,tanh,100.0%,1.0,0.0,0.01,100,2018-11-03 02:24:12
concat,many_hot,dense,2,tanh,61.0%,0.61424905,0.40825686,0.009999993,30000,2018-11-03 02:28:29
dot,many_hot,dense,2,tanh,0.0%,0.0,973.037,0.001,1000,2018-11-03 02:37:30
elementwise_mul,many_hot,dense,2,tanh,100.0%,0.999959,0.0004028225,0.0010000006,30000,2018-11-03 02:45:19
one_hot_sum,many_hot,dense,2,tanh,100.0%,0.9973574,0.00070617534,0.0010000006,30000,2018-11-03 02:52:27
elementwise_add,many_hot,dense,2,tanh,68.0%,0.68426174,0.25652373,0.0010000006,30000,2018-11-03 03:00:27
equality,many_hot,dense,2,tanh,0.0%,0.00013085938,0.25688368,0.0001,1000,2018-11-03 03:05:11
logical_and,many_hot,dense,2,tanh,100.0%,0.9996621,0.00036208413,0.0010000006,30000,2018-11-03 03:12:57
logical_or,many_hot,dense,2,tanh,94.0%,0.93815625,0.005705866,0.0010000016,30000,2018-11-03 03:21:55
logical_xor,many_hot,dense,2,tanh,0.0%,9.375e-05,0.25571087,0.0001,1000,2018-11-03 03:26:50
reduce_sum,random,dense,2,relu,45.0%,0.44775,41.390316,0.0010000006,30000,2018-11-03 03:31:04
reduce_max,random,dense,2,relu,100.0%,0.99925,0.0020406141,0.01,1000,2018-11-03 03:32:43
concat,random,dense,2,relu,38.0%,0.383625,0.24402063,0.0010000006,30000,2018-11-03 03:37:39
dot,random,dense,2,relu,4.0%,0.03725,13.82412,0.001,1000,2018-11-03 03:41:23
elementwise_mul,random,dense,2,relu,45.0%,0.45030272,0.11090915,100.0,1000,2018-11-03 03:47:11
one_hot_sum,random,dense,2,relu,100.0%,0.99614453,0.0038554687,100.0,100,2018-11-03 03:47:26
elementwise_add,random,dense,2,relu,52.0%,0.5151367,0.37816122,0.0010000006,30000,2018-11-03 03:54:36
equality,random,dense,2,relu,100.0%,0.9990098,8.9019944e-05,0.0010000006,100,2018-11-03 03:55:02
logical_and,random,dense,2,relu,100.0%,1.0,0.0010623849,0.01,1000,2018-11-03 03:56:57
logical_or,random,dense,2,relu,100.0%,1.0,0.0012671928,0.01,1000,2018-11-03 03:57:07
logical_xor,random,dense,2,relu,100.0%,1.0,0.0,0.01,100,2018-11-03 03:57:23
reduce_sum,random_pos,dense,2,relu,49.0%,0.49125,44.31454,0.0010000006,30000,2018-11-03 04:01:32
reduce_max,random_pos,dense,2,relu,100.0%,0.99825,0.0037123559,0.01,1000,2018-11-03 04:02:55
concat,random_pos,dense,2,relu,43.0%,0.42854297,0.2260858,0.0010000006,30000,2018-11-03 04:07:56
dot,random_pos,dense,2,relu,4.0%,0.03625,13.832907,1e-06,1000,2018-11-03 04:12:13
elementwise_mul,random_pos,dense,2,relu,45.0%,0.45077735,0.11048483,0.01,1000,2018-11-03 04:18:11
one_hot_sum,random_pos,dense,2,relu,100.0%,0.9959922,0.0040078126,0.01,100,2018-11-03 04:18:27
elementwise_add,random_pos,dense,2,relu,49.0%,0.49292383,0.3952761,0.0010000006,30000,2018-11-03 04:24:21
equality,random_pos,dense,2,relu,100.0%,0.9988789,9.9359415e-05,0.0010000006,100,2018-11-03 04:24:30
logical_and,random_pos,dense,2,relu,100.0%,1.0,0.00090809434,0.01,1000,2018-11-03 04:25:59
logical_or,random_pos,dense,2,relu,100.0%,1.0,0.00078850536,0.01,1000,2018-11-03 04:26:18
logical_xor,random_pos,dense,2,relu,100.0%,1.0,0.0,0.01,100,2018-11-03 04:26:27
reduce_sum,one_hot,dense,2,relu,100.0%,1.0,0.0011620689,0.001,1000,2018-11-03 04:28:36
reduce_max,one_hot,dense,2,relu,100.0%,1.0,0.0011409076,0.001,400,2018-11-03 04:28:58
concat,one_hot,dense,2,relu,99.0%,0.991916,0.0067731817,0.001,100,2018-11-03 04:29:21
dot,one_hot,dense,2,relu,99.0%,0.99025,0.009756143,0.0001,400,2018-11-03 04:30:52
elementwise_mul,one_hot,dense,2,relu,100.0%,0.99976367,0.0003783367,0.0001,100,2018-11-03 04:31:14
one_hot_sum,one_hot,dense,2,relu,100.0%,0.99573827,0.00430361,0.0001,100,2018-11-03 04:31:36
elementwise_add,one_hot,dense,2,relu,99.0%,0.99124026,0.008655074,0.0010000006,4000,2018-11-03 04:36:22
equality,one_hot,dense,2,relu,100.0%,0.9999258,0.00016701581,0.0010000016,3100,2018-11-03 04:38:21
logical_and,one_hot,dense,2,relu,100.0%,0.99993163,7.020358e-05,0.0010000016,100,2018-11-03 04:38:44
logical_or,one_hot,dense,2,relu,99.0%,0.9903457,0.009495148,0.0010000019,9900,2018-11-03 04:43:54
logical_xor,one_hot,dense,2,relu,99.0%,0.99020314,0.00917694,0.0010000019,1000,2018-11-03 04:44:19
reduce_sum,many_hot,dense,2,relu,98.0%,0.98,0.0047829044,0.01,1000,2018-11-03 04:52:48
reduce_max,many_hot,dense,2,relu,99.0%,0.99475,0.00308954,0.001,1000,2018-11-03 04:56:41
concat,many_hot,dense,2,relu,54.0%,0.53843164,0.066589944,0.0010000006,30000,2018-11-03 05:01:20
dot,many_hot,dense,2,relu,3.0%,0.03425,11.792217,0.1,1000,2018-11-03 05:09:25
elementwise_mul,many_hot,dense,2,relu,100.0%,0.99817187,0.0018363436,9.999989e-05,30000,2018-11-03 05:15:16
one_hot_sum,many_hot,dense,2,relu,99.0%,0.9921875,0.0078125,0.01,100,2018-11-03 05:19:52
elementwise_add,many_hot,dense,2,relu,99.0%,0.991082,0.0027769532,0.001,1000,2018-11-03 05:23:58
equality,many_hot,dense,2,relu,3.0%,0.031150391,0.2542712,0.0010000006,30000,2018-11-03 05:29:13
logical_and,many_hot,dense,2,relu,98.0%,0.97904295,0.018066041,0.0010000016,30000,2018-11-03 05:39:49
logical_or,many_hot,dense,2,relu,33.0%,0.32832423,0.0853027,0.0010000006,30000,2018-11-03 05:47:49
logical_xor,many_hot,dense,2,relu,3.0%,0.028779296,0.24206606,0.0010000016,30000,2018-11-03 05:52:54
reduce_sum,random,dense,2,sigmoid,3.0%,0.02725,78.46145,0.0010000019,30000,2018-11-03 05:57:36
reduce_max,random,dense,2,sigmoid,100.0%,1.0,0.00065829116,0.0010000019,100,2018-11-03 05:57:51
concat,random,dense,2,sigmoid,53.0%,0.53455466,0.17238396,0.0010000006,30000,2018-11-03 06:04:18
dot,random,dense,2,sigmoid,4.0%,0.0355,13.85488,0.0010000006,1000,2018-11-03 06:09:27
elementwise_mul,random,dense,2,sigmoid,45.0%,0.45167577,0.11036739,1.0,1000,2018-11-03 06:15:23
one_hot_sum,random,dense,2,sigmoid,100.0%,0.9960254,0.0039746095,1.0,100,2018-11-03 06:15:35
elementwise_add,random,dense,2,sigmoid,43.0%,0.43164843,0.36040038,0.0010000006,30000,2018-11-03 06:21:55
equality,random,dense,2,sigmoid,100.0%,1.0,0.0010100565,0.0010000006,100,2018-11-03 06:22:10
logical_and,random,dense,2,sigmoid,100.0%,1.0,0.0009508801,0.0010000006,100,2018-11-03 06:22:17
logical_or,random,dense,2,sigmoid,100.0%,1.0,0.001004077,0.0010000006,100,2018-11-03 06:22:33
logical_xor,random,dense,2,sigmoid,100.0%,1.0,0.0009837368,0.0010000006,100,2018-11-03 06:22:48
reduce_sum,random_pos,dense,2,sigmoid,3.0%,0.032,78.75457,0.0010000016,30000,2018-11-03 06:28:46
reduce_max,random_pos,dense,2,sigmoid,100.0%,1.0,0.0011495104,0.0010000016,100,2018-11-03 06:29:00
concat,random_pos,dense,2,sigmoid,53.0%,0.53485936,0.1729264,0.0010000006,30000,2018-11-03 06:36:00
dot,random_pos,dense,2,sigmoid,3.0%,0.0345,13.425025,0.0001,1000,2018-11-03 06:42:18
elementwise_mul,random_pos,dense,2,sigmoid,45.0%,0.45265234,0.11022845,0.009999993,30000,2018-11-03 06:48:09
one_hot_sum,random_pos,dense,2,sigmoid,100.0%,0.9960918,0.0039075282,0.009999993,100,2018-11-03 06:48:24
elementwise_add,random_pos,dense,2,sigmoid,43.0%,0.43261328,0.35921887,0.0010000006,30000,2018-11-03 06:54:17
equality,random_pos,dense,2,sigmoid,100.0%,1.0,0.00097441464,0.0010000006,100,2018-11-03 06:54:32
logical_and,random_pos,dense,2,sigmoid,100.0%,1.0,0.00097550417,0.0010000006,100,2018-11-03 06:54:48
logical_or,random_pos,dense,2,sigmoid,100.0%,1.0,0.0009890859,0.0010000006,100,2018-11-03 06:54:54
logical_xor,random_pos,dense,2,sigmoid,100.0%,1.0,0.00097375584,0.0010000006,100,2018-11-03 06:55:10
reduce_sum,one_hot,dense,2,sigmoid,0.0%,0.0,1.0,0.1,1000,2018-11-03 07:01:33
reduce_max,one_hot,dense,2,sigmoid,100.0%,1.0,0.0,0.1,100,2018-11-03 07:01:58
concat,one_hot,dense,2,sigmoid,99.0%,0.9921875,0.0078125,0.1,100,2018-11-03 07:02:22
dot,one_hot,dense,2,sigmoid,99.0%,0.99125,0.00875,0.1,100,2018-11-03 07:02:45
elementwise_mul,one_hot,dense,2,sigmoid,100.0%,0.99992967,7.03125e-05,0.1,100,2018-11-03 07:03:06
one_hot_sum,one_hot,dense,2,sigmoid,100.0%,0.9960547,0.0039453125,0.1,100,2018-11-03 07:03:29
elementwise_add,one_hot,dense,2,sigmoid,100.0%,0.99754494,0.0019204684,0.009999993,2400,2018-11-03 07:08:21
equality,one_hot,dense,2,sigmoid,100.0%,0.99832815,0.0015818562,0.009999991,2600,2018-11-03 07:13:24
logical_and,one_hot,dense,2,sigmoid,100.0%,0.99990237,9.765076e-05,0.009999991,100,2018-11-03 07:13:46
logical_or,one_hot,dense,2,sigmoid,100.0%,0.9977285,0.0017940684,0.009999993,2700,2018-11-03 07:18:48
logical_xor,one_hot,dense,2,sigmoid,100.0%,0.9971641,0.0024855514,0.009999993,2400,2018-11-03 07:23:54
reduce_sum,many_hot,dense,2,sigmoid,0.0%,0.0,16151.97,0.009999993,1000,2018-11-03 07:35:40
reduce_max,many_hot,dense,2,sigmoid,100.0%,1.0,0.0,0.009999993,100,2018-11-03 07:37:04
concat,many_hot,dense,2,sigmoid,68.0%,0.6773496,0.08750345,0.009999991,30000,2018-11-03 07:43:50
dot,many_hot,dense,2,sigmoid,0.0%,0.0,977.28827,0.009999991,1000,2018-11-03 07:57:29
elementwise_mul,many_hot,dense,2,sigmoid,95.0%,0.94687694,0.01285883,0.009999991,30000,2018-11-03 08:03:52
one_hot_sum,many_hot,dense,2,sigmoid,99.0%,0.9902207,0.0034184293,0.009999991,1000,2018-11-03 08:05:11
elementwise_add,many_hot,dense,2,sigmoid,75.0%,0.7456758,0.25130522,0.0010000006,30000,2018-11-03 08:12:42
equality,many_hot,dense,2,sigmoid,78.0%,0.7785664,0.049908422,0.0010000016,30000,2018-11-03 08:23:06
logical_and,many_hot,dense,2,sigmoid,100.0%,0.995291,0.0008483832,0.0010000019,30000,2018-11-03 08:27:58
logical_or,many_hot,dense,2,sigmoid,100.0%,0.99526954,0.00085566577,0.0010000019,30000,2018-11-03 08:33:15
logical_xor,many_hot,dense,2,sigmoid,72.0%,0.72036916,0.06745248,0.0010000006,30000,2018-11-03 08:43:30
reduce_sum,random,multiply,1,linear,29.0%,0.294,0.17530043,0.009999993,30000,2018-11-03 08:48:48
reduce_max,random,multiply,1,linear,100.0%,1.0,0.0013159299,0.009999993,1000,2018-11-03 08:49:25
concat,random,multiply,1,linear,100.0%,1.0,0.0004880421,0.0010000006,30000,2018-11-03 08:54:15
dot,random,multiply,1,linear,25.0%,0.245,0.25690508,0.0010000016,30000,2018-11-03 08:58:53
elementwise_mul,random,multiply,1,linear,100.0%,0.99964064,0.00025163783,0.009999993,30000,2018-11-03 09:04:40
one_hot_sum,random,multiply,1,linear,100.0%,0.99606836,0.0042495662,0.009999993,100,2018-11-03 09:04:58
elementwise_add,random,multiply,1,linear,100.0%,1.0,0.0011192552,0.0010000006,30000,2018-11-03 09:11:02
equality,random,multiply,1,linear,100.0%,1.0,5.376588e-05,0.0010000006,1000,2018-11-03 09:11:22
logical_and,random,multiply,1,linear,100.0%,1.0,1.5881258e-07,0.0010000016,30000,2018-11-03 09:15:17
logical_or,random,multiply,1,linear,100.0%,1.0,1.2726153e-07,0.0010000019,30000,2018-11-03 09:19:49
logical_xor,random,multiply,1,linear,100.0%,1.0,5.234579e-05,0.0010000019,1000,2018-11-03 09:20:33
reduce_sum,random_pos,multiply,1,linear,69.0%,0.689,0.028265104,0.0010000019,30000,2018-11-03 09:26:10
reduce_max,random_pos,multiply,1,linear,100.0%,1.0,6.6050015e-05,0.0010000019,30000,2018-11-03 09:29:59
concat,random_pos,multiply,1,linear,100.0%,1.0,0.00047162082,0.0010000019,30000,2018-11-03 09:34:52
dot,random_pos,multiply,1,linear,26.0%,0.2555,0.24447733,0.0010000019,30000,2018-11-03 09:40:30
elementwise_mul,random_pos,multiply,1,linear,92.0%,0.9238496,0.007815084,0.009999993,30000,2018-11-03 09:46:30
one_hot_sum,random_pos,multiply,1,linear,100.0%,0.99619335,0.004118268,0.009999993,100,2018-11-03 09:46:45
elementwise_add,random_pos,multiply,1,linear,100.0%,0.9999922,0.0011469736,0.0010000006,30000,2018-11-03 09:53:54
equality,random_pos,multiply,1,linear,100.0%,1.0,5.1462004e-05,0.0010000006,1000,2018-11-03 09:54:14
logical_and,random_pos,multiply,1,linear,100.0%,1.0,1.2141467e-07,0.0010000016,30000,2018-11-03 10:00:04
logical_or,random_pos,multiply,1,linear,100.0%,1.0,9.643472e-07,0.0010000019,30000,2018-11-03 10:04:19
logical_xor,random_pos,multiply,1,linear,100.0%,1.0,5.3565596e-05,0.0010000019,1000,2018-11-03 10:04:31
reduce_sum,one_hot,multiply,1,linear,100.0%,1.0,0.00090229133,0.0010000019,1000,2018-11-03 10:05:02
reduce_max,one_hot,multiply,1,linear,100.0%,1.0,0.0003674383,0.0010000019,1000,2018-11-03 10:05:30
concat,one_hot,multiply,1,linear,99.0%,0.9921875,0.0075873416,0.0010000019,100,2018-11-03 10:05:53
dot,one_hot,multiply,1,linear,99.0%,0.99125,0.008779284,1e-06,100,2018-11-03 10:06:44
elementwise_mul,one_hot,multiply,1,linear,100.0%,0.99992776,0.000109436274,1e-06,100,2018-11-03 10:07:08
one_hot_sum,one_hot,multiply,1,linear,100.0%,0.9960547,0.0039811595,1e-06,100,2018-11-03 10:07:32
elementwise_add,one_hot,multiply,1,linear,100.0%,0.9996543,0.0010123742,0.001,700,2018-11-03 10:10:16
equality,one_hot,multiply,1,linear,100.0%,0.9985371,0.0018860679,0.01,1000,2018-11-03 10:12:59
logical_and,one_hot,multiply,1,linear,100.0%,0.9999043,0.00010275871,0.01,100,2018-11-03 10:13:25
logical_or,one_hot,multiply,1,linear,100.0%,0.99929494,0.0010721962,0.001,700,2018-11-03 10:15:44
logical_xor,one_hot,multiply,1,linear,100.0%,0.9983984,0.0013421242,0.001,700,2018-11-03 10:16:11
reduce_sum,many_hot,multiply,1,linear,2.0%,0.01625,45.72487,0.1,1000,2018-11-03 10:25:57
reduce_max,many_hot,multiply,1,linear,91.0%,0.91475,0.008651363,0.01,1000,2018-11-03 10:35:45
concat,many_hot,multiply,1,linear,84.0%,0.841916,0.012604661,0.01,1000,2018-11-03 10:40:58
dot,many_hot,multiply,1,linear,21.0%,0.2055,0.3502924,0.0010000006,30000,2018-11-03 10:52:07
elementwise_mul,many_hot,multiply,1,linear,100.0%,1.0,0.00010968401,0.009999993,30000,2018-11-03 11:02:18
one_hot_sum,many_hot,multiply,1,linear,98.0%,0.9833613,0.0036320528,0.001,1000,2018-11-03 11:11:31
elementwise_add,many_hot,multiply,1,linear,100.0%,0.99951565,0.0016456835,0.0010000006,30000,2018-11-03 11:19:41
equality,many_hot,multiply,1,linear,100.0%,1.0,0.00012997426,0.0010000006,30000,2018-11-03 11:26:03
logical_and,many_hot,multiply,1,linear,99.0%,0.9929473,0.002484106,0.01,1000,2018-11-03 11:31:19
logical_or,many_hot,multiply,1,linear,100.0%,0.99806833,0.0011286965,0.009999993,30000,2018-11-03 11:39:25
logical_xor,many_hot,multiply,1,linear,98.0%,0.97848046,0.0037237266,0.009999991,30000,2018-11-03 11:45:03
reduce_sum,random,dense_residual,2,linear,34.0%,0.33675,0.111476384,0.009999993,30000,2018-11-03 11:51:22
reduce_max,random,dense_residual,2,linear,76.0%,0.75525,0.018218415,0.009999993,700,2018-11-03 11:53:53
concat,random,dense_residual,2,linear,23.0%,0.22947364,0.29284456,0.009999993,1000,2018-11-03 12:00:02
dot,random,dense_residual,2,linear,4.0%,0.03525,14.565933,0.001,1000,2018-11-03 12:05:18
elementwise_mul,random,dense_residual,2,linear,33.0%,0.32834765,0.15875159,0.01,1000,2018-11-03 12:13:22
one_hot_sum,random,dense_residual,2,linear,99.0%,0.9940625,0.0059577087,0.01,1000,2018-11-03 12:13:42
elementwise_add,random,dense_residual,2,linear,24.0%,0.23786134,0.27084365,0.009999993,30000,2018-11-03 12:21:08
equality,random,dense_residual,2,linear,62.0%,0.62255466,0.032597404,0.01,100,2018-11-03 12:24:01
logical_and,random,dense_residual,2,linear,95.0%,0.9499492,0.0055286516,0.009999993,30000,2018-11-03 12:30:23
logical_or,random,dense_residual,2,linear,88.0%,0.88374025,0.0120808305,0.009999991,30000,2018-11-03 12:36:43
logical_xor,random,dense_residual,2,linear,62.0%,0.61965233,0.03294938,0.009999991,100,2018-11-03 12:39:01
reduce_sum,random_pos,dense_residual,2,linear,20.0%,0.198,0.39101666,0.009999991,30000,2018-11-03 12:44:32
reduce_max,random_pos,dense_residual,2,linear,100.0%,1.0,0.00038916475,0.1,1000,2018-11-03 12:46:03
concat,random_pos,dense_residual,2,linear,23.0%,0.22754492,0.2984972,0.01,1000,2018-11-03 12:50:10
dot,random_pos,dense_residual,2,linear,4.0%,0.036,13.935712,0.0010000006,30000,2018-11-03 12:56:36
elementwise_mul,random_pos,dense_residual,2,linear,33.0%,0.32873437,0.15880224,0.01,1000,2018-11-03 13:03:22
one_hot_sum,random_pos,dense_residual,2,linear,99.0%,0.9929063,0.0061456226,0.01,1000,2018-11-03 13:03:43
elementwise_add,random_pos,dense_residual,2,linear,23.0%,0.23017773,0.29259083,0.1,1000,2018-11-03 13:10:28
equality,random_pos,dense_residual,2,linear,61.0%,0.61008596,0.03427191,0.01,100,2018-11-03 13:12:59
logical_and,random_pos,dense_residual,2,linear,100.0%,1.0,5.021444e-06,0.009999993,30000,2018-11-03 13:19:53
logical_or,random_pos,dense_residual,2,linear,99.0%,0.98680276,0.0024624348,0.009999991,30000,2018-11-03 13:25:29
logical_xor,random_pos,dense_residual,2,linear,62.0%,0.6176406,0.033261005,0.009999993,100,2018-11-03 13:27:49
reduce_sum,one_hot,dense_residual,2,linear,100.0%,1.0,8.530109e-07,0.009999993,30000,2018-11-03 13:34:04
reduce_max,one_hot,dense_residual,2,linear,100.0%,1.0,0.0021944947,0.009999993,1000,2018-11-03 13:34:36
concat,one_hot,dense_residual,2,linear,99.0%,0.9914912,0.0074914624,0.009999993,100,2018-11-03 13:35:00
dot,one_hot,dense_residual,2,linear,97.0%,0.966,0.0124782305,0.0010000006,30000,2018-11-03 13:43:51
elementwise_mul,one_hot,dense_residual,2,linear,99.0%,0.99285936,0.0035759232,0.0001,1000,2018-11-03 13:45:48
